,precision,recall,f1-score,support
0.0,0.9992625368731564,0.9973502134550273,0.9983054593678627,6793.0
1.0,0.9973552747575668,0.999263948181952,0.9983086991690565,6793.0
accuracy,0.9983070808184896,0.9983070808184896,0.9983070808184896,0.9983070808184896
macro avg,0.9983089058153616,0.9983070808184896,0.9983070792684596,13586.0
weighted avg,0.9983089058153616,0.9983070808184896,0.9983070792684597,13586.0
