,precision,recall,f1-score,support
0.0,0.9995581087052585,0.9989695274547328,0.9992637314092181,6793.0
1.0,0.9989701338825953,0.9995583689091712,0.9992641648270788,6793.0
accuracy,0.999263948181952,0.999263948181952,0.999263948181952,0.999263948181952
macro avg,0.9992641212939268,0.999263948181952,0.9992639481181484,13586.0
weighted avg,0.9992641212939269,0.999263948181952,0.9992639481181484,13586.0
